Rooms,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Lattitude,Longtitude,Propertycount,Type,Method,CouncilArea,Regionname,Price
0.1111111111111111,0.05197505197505197,0.06857727737973374,0.1,0.125,0.1,0.0004664976190146277,0.003413852631423072,0.9416058394160582,0.4947546575023978,0.5176512507537439,0.17615999252371384,0.0,0.25,0.96875,0.2857142857142857,1480000.0
0.1111111111111111,0.05197505197505197,0.06857727737973374,0.1,0.125,0.0,0.0003602654879518907,0.001774682691227676,0.856447688564477,0.48403142037673774,0.5130831216766865,0.17615999252371384,0.0,0.25,0.96875,0.2857142857142857,1035000.0
0.2222222222222222,0.05197505197505197,0.06857727737973374,0.15000000000000002,0.25,0.0,0.00030945881657406,0.0033696506795462206,0.856447688564477,0.48222268158446013,0.513996747492115,0.17615999252371384,0.0,0.75,0.96875,0.2857142857142857,1465000.0
0.2222222222222222,0.05197505197505197,0.06857727737973374,0.15000000000000002,0.25,0.1,0.00021708305043254954,0.003413852631423072,0.9416058394160582,0.49824293945892606,0.5162808120306295,0.17615999252371384,0.0,0.0,0.96875,0.2857142857142857,850000.0
0.3333333333333333,0.05197505197505197,0.06857727737973374,0.15000000000000002,0.125,0.2,0.00027712729842453135,0.0031899359766370886,0.9951338199513382,0.48493578977287655,0.5137226597474864,0.17615999252371384,0.0,1.0,0.96875,0.2857142857142857,1600000.0
0.1111111111111111,0.05197505197505197,0.06857727737973374,0.1,0.125,0.0,0.0004180003417903348,0.003413852631423072,0.9416058394160582,0.48894085424149836,0.5148190107259438,0.17615999252371384,0.0,0.25,0.96875,0.2857142857142857,941000.0
0.2222222222222222,0.05197505197505197,0.06857727737973374,0.2,0.25,0.0,0.0005658015676167515,0.004717510951364709,0.8686131386861315,0.49113717991783545,0.5184735139876295,0.17615999252371384,0.0,0.25,0.96875,0.2857142857142857,1876000.0
0.1111111111111111,0.05197505197505197,0.06857727737973374,0.1,0.125,0.2,0.0005912049033056668,0.002403684151409637,0.8442822384428224,0.4864861373091216,0.5149103733074867,0.17615999252371384,0.0,0.25,0.96875,0.2857142857142857,1636000.0
0.0,0.05197505197505197,0.06857727737973374,0.05,0.125,0.1,0.0,0.003413852631423072,0.9416058394160582,0.4932043099661527,0.5166462623567725,0.17615999252371384,1.0,0.25,0.96875,0.2857142857142857,300000.0
0.1111111111111111,0.05197505197505197,0.06857727737973374,0.15000000000000002,0.125,0.2,0.0005080667137783075,0.0016848253397731103,0.856447688564477,0.49294591871011306,0.5181080636614297,0.17615999252371384,0.0,0.25,0.96875,0.2857142857142857,1097000.0
0.1111111111111111,0.05197505197505197,0.06857727737973374,0.1,0.25,0.1,0.0,0.003413852631423072,0.9416058394160582,0.48002635590811593,0.5252343450216586,0.17615999252371384,1.0,1.0,0.96875,0.2857142857142857,700000.0
0.2222222222222222,0.05197505197505197,0.06857727737973374,0.15000000000000002,0.25,0.2,0.0004942103488570808,0.004268224194091879,0.9841849148418491,0.48325624660861166,0.5158239991229152,0.17615999252371384,0.0,1.0,0.96875,0.2857142857142857,1350000.0
0.1111111111111111,0.05197505197505197,0.06857727737973374,0.1,0.25,0.1,0.0,0.002111647759182298,0.9890510948905111,0.48416061600475757,0.5159153617044581,0.17615999252371384,1.0,0.25,0.96875,0.2857142857142857,750000.0
